OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,WINPERCENT,WINCATEGORY,TOTBALLOTSLINK,INPERSON,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3
60,221,HUNTERS WOODS,Fairfax,2016-03-16T11:51:43.000Z,stulad,221,HUNTERS WOODS,Fairfax County,Hillary Clinton,0.269377,10,787,727,787,Hillary Clinton,Hillary Clinton,468,0.594663,Martin J. O'Malley,Martin J. O'Malley,3,0.003812,Bernie Sanders,Bernie Sanders,256,0.325286
61,219,WESTBRIAR,Fairfax,2016-03-16T11:51:43.000Z,stulad,219,WESTBRIAR,Fairfax County,Hillary Clinton,0.346264,30,696,649,696,Hillary Clinton,Hillary Clinton,444,0.637931,Martin J. O'Malley,Martin J. O'Malley,2,0.002874,Bernie Sanders,Bernie Sanders,203,0.291667
62,120,SIDEBURN,Fairfax,2016-03-16T11:51:43.000Z,stulad,120,SIDEBURN,Fairfax County,Hillary Clinton,0.257911,10,632,580,632,Hillary Clinton,Hillary Clinton,369,0.583861,Martin J. O'Malley,Martin J. O'Malley,4,0.006329,Bernie Sanders,Bernie Sanders,206,0.325949
63,522,CAMELOT,Fairfax,2016-03-16T11:51:43.000Z,stulad,522,CAMELOT,Fairfax County,Hillary Clinton,0.45122,30,328,303,328,Hillary Clinton,Hillary Clinton,224,0.682927,Martin J. O'Malley,Martin J. O'Malley,3,0.009146,Bernie Sanders,Bernie Sanders,76,0.231707
64,223,GLADE,Fairfax,2016-03-16T11:51:43.000Z,stulad,223,GLADE,Fairfax County,Hillary Clinton,0.215879,10,1121,1058,1121,Hillary Clinton,Hillary Clinton,647,0.577163,Martin J. O'Malley,Martin J. O'Malley,6,0.005352,Bernie Sanders,Bernie Sanders,405,0.361285
65,409,PIONEER,Fairfax,2016-03-16T11:51:43.000Z,stulad,409,PIONEER,Fairfax County,Hillary Clinton,0.227882,10,746,721,746,Hillary Clinton,Hillary Clinton,444,0.595174,Martin J. O'Malley,Martin J. O'Malley,3,0.004021,Bernie Sanders,Bernie Sanders,274,0.367292
66,519,HUMMER,Fairfax,2016-03-16T11:51:43.000Z,stulad,519,HUMMER,Fairfax County,Hillary Clinton,0.164773,10,352,332,352,Hillary Clinton,Hillary Clinton,194,0.551136,Martin J. O'Malley,Martin J. O'Malley,2,0.005682,Bernie Sanders,Bernie Sanders,136,0.386364
67,625,LORTON CENTER,Fairfax,2016-03-16T11:51:43.000Z,stulad,625,LORTON CENTER,Fairfax County,Hillary Clinton,0.490654,30,428,411,428,Hillary Clinton,Hillary Clinton,310,0.724299,Martin J. O'Malley,Martin J. O'Malley,1,0.002336,Bernie Sanders,Bernie Sanders,100,0.233645
68,510,PARKLAWN,Fairfax,2016-03-16T11:51:43.000Z,stulad,510,PARKLAWN,Fairfax County,Hillary Clinton,0.131635,10,471,445,471,Hillary Clinton,Hillary Clinton,252,0.535032,Martin J. O'Malley,Martin J. O'Malley,3,0.006369,Bernie Sanders,Bernie Sanders,190,0.403397
69,845,FOUNTAINHEAD,Fairfax,2016-03-16T11:51:43.000Z,stulad,845,FOUNTAINHEAD,Fairfax County,Hillary Clinton,0.399694,30,653,605,653,Hillary Clinton,Hillary Clinton,432,0.661562,Martin J. O'Malley,Martin J. O'Malley,2,0.003063,Bernie Sanders,Bernie Sanders,171,0.261868
70,838,SANGSTER,Fairfax,2016-03-16T11:51:43.000Z,stulad,838,SANGSTER,Fairfax County,Hillary Clinton,0.276644,10,441,420,441,Hillary Clinton,Hillary Clinton,271,0.614512,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,149,0.337868
71,126,BONNIE BRAE,Fairfax,2016-03-16T11:51:43.000Z,stulad,126,BONNIE BRAE,Fairfax County,Hillary Clinton,0.134168,10,559,536,559,Hillary Clinton,Hillary Clinton,303,0.542039,Martin J. O'Malley,Martin J. O'Malley,5,0.008945,Bernie Sanders,Bernie Sanders,228,0.407871
72,726,MAGARITY,Fairfax,2016-03-16T11:51:43.000Z,stulad,726,MAGARITY,Fairfax County,Hillary Clinton,0.185596,10,722,683,722,Hillary Clinton,Hillary Clinton,407,0.563712,Martin J. O'Malley,Martin J. O'Malley,3,0.004155,Bernie Sanders,Bernie Sanders,273,0.378116
73,901,CENTRE RIDGE,Fairfax,2016-03-16T11:51:43.000Z,stulad,901,CENTRE RIDGE,Fairfax County,Hillary Clinton,0.030631,2,555,538,555,Hillary Clinton,Hillary Clinton,277,0.499099,Martin J. O'Malley,Martin J. O'Malley,1,0.001802,Bernie Sanders,Bernie Sanders,260,0.468468
74,424,HUNTLEY,Fairfax,2016-03-16T11:51:43.000Z,stulad,424,HUNTLEY,Fairfax County,Hillary Clinton,0.34375,30,704,671,704,Hillary Clinton,Hillary Clinton,455,0.646307,Martin J. O'Malley,Martin J. O'Malley,3,0.004261,Bernie Sanders,Bernie Sanders,213,0.302557
75,523,POE,Fairfax,2016-03-16T11:51:43.000Z,stulad,523,POE,Fairfax County,Hillary Clinton,0.274809,10,524,482,524,Hillary Clinton,Hillary Clinton,310,0.591603,Martin J. O'Malley,Martin J. O'Malley,5,0.009542,Bernie Sanders,Bernie Sanders,166,0.316794
76,707,MANTUA,Fairfax,2016-03-16T11:51:43.000Z,stulad,707,MANTUA,Fairfax County,Hillary Clinton,0.225694,10,576,512,576,Hillary Clinton,Hillary Clinton,320,0.555556,Martin J. O'Malley,Martin J. O'Malley,2,0.003472,Bernie Sanders,Bernie Sanders,190,0.329861
77,918,CENTREVILLE,Fairfax,2016-03-16T11:51:43.000Z,stulad,918,CENTREVILLE,Fairfax County,Hillary Clinton,0.073469,2,735,704,735,Hillary Clinton,Hillary Clinton,377,0.512925,Martin J. O'Malley,Martin J. O'Malley,3,0.004082,Bernie Sanders,Bernie Sanders,323,0.439456
78,708,MARSHALL,Fairfax,2016-03-16T11:51:43.000Z,stulad,708,MARSHALL,Fairfax County,Hillary Clinton,0.158451,10,1136,1075,1136,Hillary Clinton,Hillary Clinton,625,0.550176,Martin J. O'Malley,Martin J. O'Malley,3,0.002641,Bernie Sanders,Bernie Sanders,445,0.391725
79,216,VIENNA #4,Fairfax,2016-03-16T11:51:43.000Z,stulad,216,VIENNA #4,Fairfax County,Hillary Clinton,0.054054,2,333,311,333,Hillary Clinton,Hillary Clinton,162,0.486486,Martin J. O'Malley,Martin J. O'Malley,5,0.015015,Bernie Sanders,Bernie Sanders,144,0.432432
80,517,WILLSTON,Fairfax,2016-03-16T11:51:43.000Z,stulad,517,WILLSTON,Fairfax County,Hillary Clinton,0.288754,10,329,315,329,Hillary Clinton,Hillary Clinton,203,0.617021,Martin J. O'Malley,Martin J. O'Malley,4,0.012158,Bernie Sanders,Bernie Sanders,108,0.328267
81,227,SUNRISE VALLEY,Fairfax,2016-03-16T11:51:43.000Z,stulad,227,SUNRISE VALLEY,Fairfax County,Hillary Clinton,0.372596,30,416,386,416,Hillary Clinton,Hillary Clinton,270,0.649038,Martin J. O'Malley,Martin J. O'Malley,1,0.002404,Bernie Sanders,Bernie Sanders,115,0.276442
82,733,KILMER,Fairfax,2016-03-16T11:51:43.000Z,stulad,733,KILMER,Fairfax County,Hillary Clinton,0.248649,10,925,856,925,Hillary Clinton,Hillary Clinton,541,0.584865,Martin J. O'Malley,Martin J. O'Malley,3,0.003243,Bernie Sanders,Bernie Sanders,311,0.336216
