OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,REGVOTERS,TOTBALLOTSLINK,PERCVOTE,INPERSON,TOTBALLOTS
49,315,PIMMIT,Fairfax,2016-03-16T11:51:51.000Z,stulad,315,PIMMIT,Fairfax County,2956,505,0.170839,497,505
50,310,KIRBY,Fairfax,2016-03-16T11:51:51.000Z,stulad,310,KIRBY,Fairfax County,2059,524,0.254492,489,524
51,305,EL NIDO,Fairfax,2016-03-16T11:51:51.000Z,stulad,305,EL NIDO,Fairfax County,2221,532,0.239532,496,532
52,318,WESTMORELAND,Fairfax,2016-03-16T11:51:51.000Z,stulad,318,WESTMORELAND,Fairfax County,1416,330,0.233051,322,330
53,302,CHESTERBROOK,Fairfax,2016-03-16T11:51:51.000Z,stulad,302,CHESTERBROOK,Fairfax County,2556,743,0.290689,698,743
54,301,CHAIN BRIDGE,Fairfax,2016-03-16T11:51:51.000Z,stulad,301,CHAIN BRIDGE,Fairfax County,3331,787,0.236265,719,787
55,323,SHOUSE,Fairfax,2016-03-16T11:51:51.000Z,stulad,323,SHOUSE,Fairfax County,2193,542,0.24715,515,542
56,240,COLVIN,Fairfax,2016-03-16T11:51:51.000Z,stulad,240,COLVIN,Fairfax County,2381,706,0.296514,673,706
57,322,FORESTVILLE,Fairfax,2016-03-16T11:51:51.000Z,stulad,322,FORESTVILLE,Fairfax County,3057,949,0.310435,904,949
58,419,LANE,Fairfax,2016-03-16T11:51:51.000Z,stulad,419,LANE,Fairfax County,3046,425,0.139527,409,425
59,710,PINE SPRING,Fairfax,2016-03-16T11:51:51.000Z,stulad,710,PINE SPRING,Fairfax County,2082,308,0.147935,301,308
60,221,HUNTERS WOODS,Fairfax,2016-03-16T11:51:51.000Z,stulad,221,HUNTERS WOODS,Fairfax County,2619,677,0.258496,652,677
61,219,WESTBRIAR,Fairfax,2016-03-16T11:51:51.000Z,stulad,219,WESTBRIAR,Fairfax County,3397,792,0.233147,762,792
62,120,SIDEBURN,Fairfax,2016-03-16T11:51:51.000Z,stulad,120,SIDEBURN,Fairfax County,3127,950,0.303806,898,950
63,522,CAMELOT,Fairfax,2016-03-16T11:51:51.000Z,stulad,522,CAMELOT,Fairfax County,1355,393,0.290037,382,393
64,223,GLADE,Fairfax,2016-03-16T11:51:51.000Z,stulad,223,GLADE,Fairfax County,3507,656,0.187054,632,656
65,409,PIONEER,Fairfax,2016-03-16T11:51:51.000Z,stulad,409,PIONEER,Fairfax County,3452,410,0.118772,403,410
66,519,HUMMER,Fairfax,2016-03-16T11:51:51.000Z,stulad,519,HUMMER,Fairfax County,1805,313,0.173407,302,313
67,625,LORTON CENTER,Fairfax,2016-03-16T11:51:51.000Z,stulad,625,LORTON CENTER,Fairfax County,1956,353,0.18047,331,353
68,510,PARKLAWN,Fairfax,2016-03-16T11:51:51.000Z,stulad,510,PARKLAWN,Fairfax County,2096,357,0.170324,352,357
